GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	6,24659	50	20	1	0,9	100	0	0	0	0	0	0	0	0	0	298	0,0689418	4,23E-06	0,269479	0,333333	1,21E-05	1	0	0	0
1	314	1	6,22807	50	20	1	0,909	125	0	8	7	0,245955	7	0,466219	6	0,546617	0,98	298	0,162293	9,87E-06	0,604455	0,354167	1,17E-05	0,0526316	0	0	0
2	395	2	6,20065	50	20	1	0,9171	158	0	15	0	0,245955	2	0,499851	18	0,706911	1,6	298	0,214349	1,15E-05	0,63428	0,354167	1,17E-05	0,0526316	0,119048	1,22E-05	1
3	461	3	6,17645	50	20	1	0,92439	185	4	23	1	0,290456	17	0,628042	2	0,717628	2,12	298	0,234666	1,14E-05	0,612993	0,354167	1,17E-05	0,0526316	0,162791	1,23E-05	0,111111
4	520	4	6,14976	50	20	1	0,930951	209	5	28	10	0,742104	4	0,537416	6	0,829182	2,44	298	0,255492	1,14E-05	0,595577	0,354167	1,17E-05	0,0526316	0,204545	1,17E-05	1
5	580	5	6,11106	50	20	1	0,936856	234	6	39	3	0,724893	8	0,449615	9	0,885578	2,64	298	0,284447	1,11E-05	0,42622	0,354167	1,17E-05	0,0526316	0,204545	1,24E-05	0,111111
6	649	6	6,04123	50	20	1	0,94217	263	6	39	11	0,727793	1	0,458873	8	0,879425	2,52	298	0,315494	1,16E-05	0,254078	0,387755	1,13E-05	0,0526316	0,244444	1,16E-05	0,111111
7	713	7	5,97924	50	20	1	0,946953	290	6	47	5	0,741981	2	0,476684	13	0,870399	2,52	298	0,336347	1,17E-05	0,360383	0,387755	1,16E-05	0,0526316	0,306122	1,09E-05	0,0909091
8	788	8	5,9191	50	20	1	0,951258	322	6	49	6	0,766495	2	0,507324	12	0,837559	2,6	298	0,347506	1,18E-05	0,527081	0,387755	1,17E-05	0,0526316	0,333333	1,21E-05	1
9	857	9	5,87498	50	20	1	0,955132	351	6	50	10	0,748866	2	0,540676	8	0,843298	3	298	0,356066	1,17E-05	0,186794	0,387755	1,17E-05	0,0526316	0,333333	1,21E-05	1
10	934	10	5,76372	50	20	1	0,958619	383	6	54	4	0	8	0,858574	8	0,871066	2,94	298	0,361148	1,17E-05	0,0715789	0,387755	1,17E-05	0,0526316	0,354167	1,17E-05	0,0526316
11	988	11	5,77478	50	20	1	0,961757	405	7	60	11	0,495531	7	0,74731	2	0,863077	3,88	298	0,361148	1,17E-05	0,0715789	0,387755	1,17E-05	0,0526316	0,354167	1,17E-05	0,0526316
12	1079	12	5,79654	50	20	1	0,964581	443	7	62	0	0,495531	0	0,74731	20	0,829796	4,02	298	0,364507	1,17E-05	0,0715789	0,387755	1,20E-05	0,0526316	0,354167	1,17E-05	0,0526316
13	1130	13	5,81253	50	20	1	0,967123	463	14	71	4	0,545389	15	0,612302	1	0,830296	4,14	298	0,367194	1,18E-05	0,0715789	0,387755	1,20E-05	0,0526316	0,354167	1,17E-05	0,0526316
14	1211	14	5,82049	50	20	1	0,969411	497	14	74	3	0,572326	2	0,621094	15	0,838376	3,14	298	0,374583	1,17E-05	0,0715789	0,387755	1,20E-05	0,0526316	0,354167	1,20E-05	0,0526316
15	1286	15	5,81085	50	20	1	0,97147	528	15	75	7	0,58443	5	0,648869	8	0,838101	3,46	298	0,384633	1,16E-05	0,0715789	0,42	1,13E-05	0,0526316	0,354167	1,20E-05	0,0526316
16	1368	16	5,78511	50	20	1	0,973323	562	15	75	6	0,589089	4	0,666345	10	0,845946	3,42	298	0,389045	1,16E-05	0,0526316	0,42	1,17E-05	0,0526316	0,387755	1,13E-05	0,0526316
17	1436	17	5,78771	50	20	1	0,974991	590	16	83	3	0,587173	5	0,679322	12	0,84831	2,74	298	0,390335	1,17E-05	0,0533971	0,42	1,17E-05	0,0526316	0,387755	1,14E-05	0,0526316
18	1500	18	5,7823	50	20	1	0,976491	616	16	92	5	0,572084	6	0,674842	9	0,853837	2,66	298	0,394849	1,17E-05	0,0541627	0,42	1,20E-05	0,0526316	0,387755	1,17E-05	0,0526316
19	1577	19	5,79196	50	20	1	0,977842	648	16	98	2	0,563165	5	0,668995	13	0,857062	3,32	298	0,398718	1,17E-05	0,0549282	0,42	1,20E-05	0,0526316	0,387755	1,17E-05	0,0526316
