GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	7,09578	50	20	1	0,9	50	0	0	0	0	0	0	0	0	0	252	0,0412867	5,73206e-05	0,016	0,4	0,00033557	0,1	0	0	0
1	167	1	7,07888	50	20	1	0,811	77	0	6	7	0,581524	7	0,370485	6	0,585378	0,98	252	0,063917	8,61621e-05	0,024	0,4	0,00033557	0,1	0	0	0
2	231	2	7,04339	50	20	1	0,8289	106	1	9	7	0,621119	1	0,399979	12	0,703666	1,84	252	0,0927216	0,000129108	0,036	0,4	0,00033557	0,1	0	0	0
3	292	3	6,98108	50	20	1	0,84501	133	1	16	6	0,5966	10	0,55547	4	0,72181	2,54	252	0,12696	0,000180021	0,05	0,4	0,00033557	0,1	0	0	0
4	364	4	6,78849	50	20	1	0,859509	166	1	18	5	0,609046	3	0,591512	12	0,76965	2,38	252	0,231269	0,000313491	0,088	0,4	0,00033557	0,1	0	0	0
5	436	5	6,60874	50	20	1	0,872558	199	1	20	5	0	6	0,819966	9	0,901086	2,3	252	0,30131	0,000353344	0,1	0,4	0,00033557	0,1	0,2	0,000340136	0,1
6	491	6	6,50549	50	20	1	0,884302	224	1	23	12	0,6875	6	0,775924	2	0,901377	2,64	252	0,327697	0,000344055	0,1	0,4	0,00033557	0,1	0,266667	0,000381679	0,1
7	570	7	6,32171	50	20	1	0,894872	260	2	25	1	0,676493	4	0,761667	15	0,881437	2,6	252	0,353294	0,000334417	0,1	0,4	0,00033557	0,1	0,333333	0,000331126	0,1
8	632	8	6,32041	50	20	1	0,904385	288	2	32	5	0,675855	11	0,777914	4	0,865993	2,84	252	0,358941	0,000335042	0,1	0,4	0,00033557	0,1	0,333333	0,00033557	0,1
9	687	9	6,1341	50	20	1	0,912946	313	2	40	7	0,715856	4	0,76704	9	0,850398	2,64	252	0,369529	0,00033478	0,1	0,4	0,000340136	0,1	0,352941	0,00033557	0,1
10	755	10	6,15043	50	20	1	0,920652	344	2	44	5	0,725221	8	0,750237	7	0,857224	3,4	252	0,378	0,000334345	0,1	0,4	0,000340136	0,1	0,352941	0,00033557	0,1
11	829	11	6,21746	50	20	1	0,927587	378	2	44	6	0,718496	4	0,758342	10	0,858051	2,54	252	0,396824	0,000333821	0,1	0,4	0,000340136	0,1	0,352941	0,000340136	0,1
12	915	12	6,1733	50	20	1	0,933828	418	2	44	0	0,718496	9	0,774296	11	0,854893	2,68	252	0,4	0,000335667	0,1	0,4	0,000340136	0,1	0,4	0,000331126	0,1
13	973	13	6,19907	50	20	1	0,939445	444	3	49	8	0,739209	7	0,777238	5	0,853553	3,28	252	0,402667	0,000336029	0,1	0,444444	0,00033557	0,1	0,4	0,00033557	0,1
14	1039	14	6,2231	50	20	1	0,944501	474	3	49	10	0,748366	1	0,776018	9	0,85787	3,9	252	0,404444	0,000336214	0,1	0,444444	0,00033557	0,1	0,4	0,00033557	0,1
15	1101	15	6,23292	50	20	1	0,949051	502	3	55	6	0,736624	7	0,764612	7	0,857274	4,5	252	0,406222	0,000336308	0,1	0,444444	0,00033557	0,1	0,4	0,00033557	0,1
16	1174	16	6,2494	50	20	1	0,953145	535	4	57	4	0,715035	7	0,760782	9	0,856983	4,6	252	0,408889	0,000336765	0,1	0,444444	0,00033557	0,1	0,4	0,00033557	0,1
17	1249	17	6,25913	50	20	1	0,956831	569	4	61	2	0,708823	8	0,757742	10	0,854576	3,64	252	0,413016	0,000338271	0,1	0,444444	0,00033557	0,1	0,4	0,00033557	0,1
18	1319	18	6,2626	50	20	1	0,960148	601	4	62	7	0,699339	5	0,759075	8	0,85092	3,1	252	0,41746	0,000338547	0,1	0,444444	0,00033557	0,1	0,4	0,000340136	0,1
19	1398	19	6,3034	50	20	1	0,963133	637	4	64	2	0,695322	7	0,765674	11	0,848441	3,68	252	0,428079	0,00033737	0,1	0,486486	0,00033557	0,1	0,4	0,000340136	0,1
20	1472	20	6,30742	50	20	1	0,96582	671	4	66	4	0,684269	4	0,769156	12	0,847796	2,74	252	0,441412	0,000335835	0,1	0,486486	0,00033557	0,1	0,4	0,000344828	0,1
21	1539	21	6,25527	50	20	1	0,968238	701	4	69	7	0,658159	3	0,769336	10	0,849678	3,12	252	0,447508	0,000335583	0,1	0,513514	0,000344828	0,1	0,444444	0,000331126	0,1
22	1607	22	6,23625	50	20	1	0,970414	732	5	75	2	0,653633	9	0,761987	9	0,852068	3,58	252	0,450571	0,000336123	0,1	0,513514	0,000344828	0,1	0,444444	0,00033557	0,1
23	1673	23	6,23661	50	20	1	0,972373	762	5	82	3	0,649065	10	0,750217	7	0,85445	4,2	252	0,452252	0,000336397	0,1	0,513514	0,000344828	0,1	0,444444	0,00033557	0,1
24	1749	24	6,26619	50	20	1	0,974135	796	5	86	2	0,645498	7	0,750977	11	0,854633	4,54	252	0,458919	0,000337041	0,1	0,513514	0,000344828	0,1	0,444444	0,00033557	0,1
25	1831	25	6,29443	50	20	1	0,975722	833	5	88	1	0,643971	3	0,752637	16	0,856846	3,68	252	0,471411	0,000338433	0,1	0,513514	0,000344828	0,1	0,444444	0,00033557	0,1
26	1913	26	6,29947	50	20	1	0,97715	870	5	89	2	0,640981	2	0,754593	16	0,858634	2,6	252	0,488123	0,000338737	0,1	0,513514	0,000344828	0,1	0,444444	0,000340136	0,1
27	1982	27	6,2712	50	20	1	0,978435	901	5	96	2	0,638082	4	0,756326	14	0,861709	2,6	252	0,501807	0,00033936	0,1	0,552632	0,000344828	0,1	0,486486	0,00033557	0,1
28	2049	28	6,28435	50	20	1	0,979591	931	5	105	1	0,637434	8	0,752073	11	0,861963	3,08	252	0,506914	0,000339902	0,1	0,552632	0,000344828	0,1	0,486486	0,00033557	0,1
29	2121	29	6,22743	50	20	1	0,980632	963	5	110	3	0,633621	8	0,745875	9	0,860365	2,84	252	0,514723	0,000340546	0,1	0,552632	0,000344828	0,1	0,486486	0,000340136	0,1
30	2193	30	6,19386	50	20	1	0,981569	996	6	114	2	0,631337	7	0,745892	11	0,858217	3,14	252	0,5166	0,000343161	0,1	0,552632	0,000344828	0,1	0,513514	0,000344828	0,1
31	2262	31	6,25584	50	20	1	0,982412	1028	7	120	1	0,629862	5	0,742171	14	0,859923	3,94	252	0,519431	0,000341591	0,1	0,552632	0,000344828	0,1	0,513514	0,000344828	0,1
32	2335	32	6,27186	50	20	1	0,983171	1062	8	124	1	0,628419	6	0,738478	13	0,862177	4,22	252	0,52434	0,000340483	0,1	0,564103	0,000344828	0,1	0,513514	0,000344828	0,1
33	2410	33	6,2428	50	20	1	0,983854	1097	8	127	2	0,628112	6	0,739257	12	0,862875	2,4	252	0,531851	0,000336736	0,1	0,564103	0,000344828	0,1	0,526316	0,000295858	0,1
34	2484	34	6,28282	50	20	1	0,984468	1131	8	131	2	0,626358	3	0,739055	15	0,863839	3,16	252	0,536575	0,00033956	0,1	0,564103	0,000344828	0,1	0,526316	0,00033557	0,1
35	2557	35	6,28122	50	20	1	0,985022	1165	8	132	5	0,61583	3	0,739421	12	0,865232	3,62	252	0,544524	0,000341503	0,1	0,589744	0,000344828	0,1	0,526316	0,00033557	0,1
36	2631	36	6,16367	50	20	1	0,985519	1199	8	137	1	0,61407	11	0,742262	8	0,865876	2,36	252	0,552382	0,000344843	0,1	0,589744	0,000344828	0,1	0,526316	0,000340136	0,1
37	2709	37	6,06848	50	20	1	0,985967	1235	8	139	2	0,607467	2	0,743099	16	0,864019	2,76	252	0,557152	0,000344828	0,1	0,589744	0,000344828	0,1	0,552632	0,000344828	0,1
38	2768	38	6,06897	50	20	1	0,986371	1262	9	150	1	0,604442	8	0,743398	11	0,865506	3,6	252	0,560297	0,000344734	0,1	0,589744	0,000344828	0,1	0,552632	0,000344828	0,1
39	2837	39	6,06993	50	20	1	0,986734	1294	10	154	3	0,59577	4	0,737169	13	0,864504	4,26	252	0,562917	0,000344734	0,1	0,589744	0,000344828	0,1	0,552632	0,000344828	0,1
40	2913	40	6,06495	50	20	1	0,98706	1329	10	156	3	0,587522	5	0,732647	12	0,865341	4,22	252	0,567697	0,000344734	0,1	0,6	0,000344828	0,1	0,552632	0,000344828	0,1
41	2980	41	6,07252	50	20	1	0,987354	1360	11	159	5	0,570414	4	0,731883	11	0,865295	3,14	252	0,575513	0,000344546	0,1	0,6	0,000344828	0,1	0,564103	0,000344828	0,1
42	3051	42	6,08095	50	20	1	0,987619	1393	11	164	2	0,563538	3	0,732592	15	0,865817	3,66	252	0,581451	0,000344452	0,1	0,6	0,000344828	0,1	0,564103	0,000344828	0,1
43	3125	43	6,07732	50	20	1	0,987857	1427	12	169	0	0,563538	8	0,733864	12	0,866597	2,52	252	0,590859	0,000344734	0,1	0,625	0,000344828	0,1	0,589744	0,000340136	0,1
44	3183	44	6,07747	50	20	1	0,988071	1454	12	181	1	0,560231	5	0,734979	14	0,866758	3,38	252	0,590859	0,000344828	0,1	0,625	0,000344828	0,1	0,589744	0,000344828	0,1
45	3259	45	6,0817	50	20	1	0,988264	1489	12	185	1	0,55698	5	0,736069	14	0,86532	3,96	252	0,591769	0,000344828	0,1	0,625	0,000344828	0,1	0,589744	0,000344828	0,1
46	3338	46	6,08198	50	20	1	0,988438	1526	12	187	1	0,553782	8	0,738071	11	0,866393	4,78	252	0,593385	0,000344734	0,1	0,625	0,000344828	0,1	0,589744	0,000344828	0,1
47	3415	47	6,08528	50	20	1	0,988594	1562	13	190	0	0,553782	7	0,738515	13	0,867123	5,36	252	0,596093	0,000344734	0,1	0,634146	0,000344828	0,1	0,589744	0,000344828	0,1
48	3499	48	6,0938	50	20	1	0,988735	1600	13	191	1	0,550625	4	0,739681	15	0,867497	4,72	252	0,602005	0,000344546	0,1	0,642857	0,000344828	0,1	0,589744	0,000344828	0,1
49	3582	49	6,10221	50	20	1	0,988861	1637	13	193	1	0,549447	3	0,740461	16	0,865725	3,4	252	0,608895	0,000344179	0,1	0,642857	0,000344828	0,1	0,589744	0,000344828	0,1
50	3655	50	6,11737	50	20	1	0,988975	1670	13	198	2	0,547437	5	0,743031	13	0,864665	2,72	252	0,618652	0,000344684	0,1	0,642857	0,000344828	0,1	0,6	0,000344828	0,1
51	3726	51	6,13116	50	20	1	0,989077	1702	13	205	1	0,546442	4	0,744602	15	0,864369	2,4	252	0,628859	0,00034324	0,1	0,642857	0,000344828	0,1	0,609756	0,000344828	0,1
52	3815	52	6,15495	50	20	1	0,98917	1742	13	205	0	0,546442	2	0,744807	18	0,864773	2,76	252	0,634599	0,000343336	0,1	0,658537	0,000344828	0,1	0,625	0,000344828	0,1
53	3890	53	6,17266	50	20	1	0,989253	1777	14	209	0	0,546442	5	0,74527	15	0,865361	2,1	252	0,639551	0,00034342	0,1	0,674419	0,000344828	0,1	0,634146	0,000340136	0,1
54	3967	54	6,1777	50	20	1	0,989327	1813	14	213	0	0,546442	9	0,746298	11	0,865209	2,46	252	0,642269	0,00034464	0,1	0,674419	0,000344828	0,1	0,634146	0,000344828	0,1
55	4047	55	6,15556	50	20	1	0,989395	1850	14	213	3	0,543368	3	0,747219	14	0,865129	2,42	252	0,646315	0,000344734	0,1	0,674419	0,000344828	0,1	0,642857	0,000344828	0,1
56	4124	56	6,16942	50	20	1	0,989455	1886	14	215	2	0,543702	5	0,748406	13	0,864935	3,3	252	0,648843	0,00034464	0,1	0,674419	0,000344828	0,1	0,642857	0,000344828	0,1
57	4206	57	6,18832	50	20	1	0,98951	1924	14	217	0	0,543702	6	0,74973	14	0,865584	3,8	252	0,653563	0,000344546	0,1	0,674419	0,000344828	0,1	0,642857	0,000344828	0,1
58	4281	58	6,18457	50	20	1	0,989559	1959	14	220	2	0,542745	5	0,750863	13	0,863963	3,42	252	0,659529	0,000344361	0,1	0,674419	0,000344828	0,1	0,642857	0,000344828	0,1
59	4354	59	6,16691	50	20	1	0,989603	1993	14	224	2	0,540254	6	0,752389	12	0,862921	2,62	252	0,665063	0,000344546	0,1	0,690476	0,000344828	0,1	0,658537	0,000344828	0,1
60	4426	60	6,19908	50	20	1	0,989643	2026	14	230	1	0,539085	7	0,753609	12	0,863241	3,08	252	0,669843	0,000344265	0,1	0,690476	0,000344828	0,1	0,658537	0,000344828	0,1
61	4511	61	6,15062	50	20	1	0,989678	2065	14	231	0	0,539085	9	0,756109	11	0,862944	2,36	252	0,67474	0,000344077	0,1	0,690476	0,000344828	0,1	0,674419	0,000340136	0,1
62	4570	62	6,17152	50	20	1	0,989711	2092	16	239	3	0,536982	7	0,756177	10	0,861979	3,08	252	0,675382	0,000344828	0,1	0,690476	0,000344828	0,1	0,674419	0,000344828	0,1
63	4634	63	6,18157	50	20	1	0,989739	2121	16	249	1	0,53597	7	0,753152	12	0,863052	4	252	0,676627	0,000344828	0,1	0,704545	0,000344828	0,1	0,674419	0,000344828	0,1
