GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	7,29011	100	20	1	0,9	100	0	0	0	0	0	0	0	0	0	296	0,0206435	4,26678e-06	0,00190989	0,355263	4,84966e-05	0,0208333	0	0	0
1	302	1	7,28407	100	20	1	0,811	131	0	2	7	0,492819	7	0,222953	6	0,73818	0,99	296	0,0288419	5,76173e-06	0,00262105	0,355263	4,84966e-05	0,0208333	0	0	0
2	387	2	7,27239	100	20	1	0,8289	167	0	6	0	0,492819	0	0,222953	20	0,677836	1,94	296	0,039313	7,83093e-06	0,00357031	0,355263	4,84966e-05	0,0208333	0	0	0
3	438	3	7,27239	100	20	1	0,74701	188	0	6	19	0,350159	0	0,222953	1	0,676928	2,93	296	0,039313	7,83093e-06	0,00357031	0,355263	4,84966e-05	0,0208333	0	0	0
4	528	4	7,26599	100	20	1	0,771309	226	1	6	1	0,348198	13	0,370882	6	0,65709	3,86	296	0,0442618	8,85342e-06	0,00407867	0,355263	4,84966e-05	0,0208333	0	0	0
5	617	5	7,23786	100	20	1	0,793178	264	1	8	0	0,348198	3	0,412201	17	0,659	4,57	296	0,0619994	1,2587e-05	0,00566367	0,355263	4,84966e-05	0,0208333	0	0	0
6	703	6	7,19048	100	20	1	0,81286	301	1	9	2	0	5	0,733436	13	0,825674	5,01	296	0,0882072	1,84894e-05	0,00824834	0,355263	4,84966e-05	0,0208333	0	0	0
7	765	7	7,16707	100	20	1	0,830574	327	1	11	12	0,570557	8	0,705435	0	0,825674	5,7	296	0,101206	2,11508e-05	0,00939798	0,355263	4,84966e-05	0,0208333	0	0	0
8	844	8	7,1004	100	20	1	0,846517	361	1	14	3	0,562886	4	0,713049	13	0,806342	5,92	296	0,127848	2,72007e-05	0,0119433	0,384615	4,77555e-05	0,0208333	0	0	0
9	920	9	7,06088	100	20	1	0,860865	393	1	19	3	0,548653	14	0,710522	3	0,808039	6,35	296	0,145551	3,10023e-05	0,0135591	0,384615	4,77555e-05	0,0208333	0	0	0
10	992	10	6,98155	100	20	1	0,873779	424	1	21	7	0,542991	5	0,707948	8	0,809671	6,17	296	0,175515	3,81193e-05	0,0166236	0,384615	4,77555e-05	0,0208333	0	0	0
11	1064	11	6,79472	100	20	1	0,885401	455	1	29	1	0,545106	4	0,708598	15	0,819846	3,26	296	0,228611	4,93748e-05	0,0213504	0,384615	4,77555e-05	0,0208333	0	0	0
12	1138	12	6,74412	100	20	1	0,895861	488	1	31	5	0,565925	4	0,709405	11	0,834775	3,53	296	0,257093	5,32524e-05	0,0232225	0,384615	4,77555e-05	0,0208333	0,19697	5,6243e-05	0,0232558
13	1214	13	6,67209	100	20	1	0,905275	522	1	31	6	0,578092	4	0,705928	10	0,841851	3,52	296	0,272328	5,26335e-05	0,0234761	0,384615	4,77555e-05	0,0208333	0,227273	5,6243e-05	0,0222222
