GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.65544,100,20,1,0.9,50,0,0,0,0,0,0,0,0,0,88,0.136393,9.45872e-05,0.0476667,0.451613,0.000191571,0.1,0,0,0
1,160,1,6.6561,100,20,1,0.9,77,0,6,7,0.427691,7,0.262514,6,0.830987,0.987952,88,0.123614,9.0107e-05,0.0453815,0.451613,0.000191571,0.1,0,0,0
2,239,2,6.6534,100,20,1,0.909,115,0,8,0,0.427691,0,0.262514,20,0.850394,1.8,88,0.14969,0.00011013,0.0555,0.451613,0.000191571,0.1,0,0,0
3,299,3,6.64259,100,20,1,0.9171,143,0,10,10,0.611542,1,0.268844,9,0.854876,2.43,88,0.189171,0.000136111,0.0685,0.451613,0.000191571,0.1,0,0,0
4,373,4,6.57044,100,20,1,0.92439,177,0,12,4,0.651254,4,0.347146,12,0.855286,2.73,88,0.2577,0.00018176,0.0915,0.451613,0.000191571,0.1,0,0,0
5,445,5,6.50489,100,20,1,0.930951,210,0,12,7,0.691887,3,0.396587,10,0.863581,3,88,0.309518,0.000197294,0.1,0.483871,0.000175439,0.1,0.2,0.00019305,0.1
6,504,6,6.48386,100,20,1,0.936856,237,0,13,12,0.722098,0,0.396587,8,0.866468,3.36,88,0.339989,0.000195787,0.1,0.516129,0.000188679,0.1,0.24,0.000207469,0.1
7,571,7,6.4563,100,20,1,0.94217,268,0,18,4,0.717071,5,0.465704,11,0.862596,3.67,88,0.359388,0.000193538,0.1,0.516129,0.000188679,0.1,0.296296,0.00019305,0.1
8,641,8,6.41544,100,20,1,0.946953,300,0,18,8,0,5,0.81569,7,0.853175,3.82,88,0.3765,0.000190772,0.1,0.516129,0.000188679,0.1,0.307692,0.000212766,0.1
9,693,9,6.40385,100,20,1,0.951258,324,0,24,10,0.621283,8,0.844959,2,0.850439,4.25,88,0.385699,0.00018952,0.1,0.516129,0.000188679,0.1,0.321429,0.000188679,0.1
10,777,10,6.33014,100,20,1,0.955132,363,0,25,0,0.621283,10,0.768251,10,0.862523,4.18,88,0.402922,0.000187004,0.1,0.516129,0.000188679,0.1,0.357143,0.000177936,0.1
11,843,11,6.32643,100,20,1,0.958619,393,0,25,10,0.596851,2,0.763258,8,0.880575,3.89,88,0.413251,0.000187739,0.1,0.516129,0.000188679,0.1,0.357143,0.000191571,0.1
12,900,12,6.26615,100,20,1,0.961757,419,3,35,1,0.597799,8,0.734007,11,0.890981,4.12,88,0.42324,0.000185897,0.1,0.516129,0.000188679,0.1,0.4,0.000175439,0.1
13,982,13,6.205,100,20,1,0.964581,457,3,36,1,0.591746,4,0.713367,15,0.891059,4.17,88,0.431373,0.000187492,0.1,0.516129,0.000188679,0.1,0.413793,0.000176678,0.1
14,1052,14,6.23661,100,20,1,0.967123,489,3,40,4,0.591227,4,0.715218,12,0.882075,3.87,88,0.436704,0.000189009,0.1,0.516129,0.000188679,0.1,0.413793,0.000179211,0.1
15,1125,15,6.23831,100,20,1,0.969411,523,3,42,4,0.587325,5,0.721249,11,0.878322,3.89,88,0.444597,0.000187456,0.1,0.516129,0.000188679,0.1,0.413793,0.000190114,0.1
16,1193,16,6.26758,100,20,1,0.97147,554,3,47,4,0.584317,7,0.704085,9,0.883178,3.91,88,0.45142,0.000186317,0.1,0.53125,0.000187266,0.1,0.413793,0.000196078,0.1
17,1267,17,6.30181,100,20,1,0.973323,588,3,49,4,0.578878,2,0.695152,14,0.886004,3.75,88,0.461765,0.000184891,0.1,0.558824,0.000175439,0.1,0.433333,0.000174216,0.1
18,1341,18,6.29542,100,20,1,0.974991,622,3,53,2,0.57535,7,0.673484,11,0.881071,3.73,88,0.470106,0.000184544,0.1,0.558824,0.000175439,0.1,0.433333,0.000205761,0.1
