GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	7,09578	30	20	1	0,9	50	0	0	0	0	0	0	0	0	0	252	0,00333333	3,50877e-06	0,001	0,166667	0,000175439	0,05	0	0	0
1	169	1	6,99248	30	20	1	0,909	77	0	6	7	0,514241	7	0,301745	6	0,577683	0,966667	252	0,0111111	1,16959e-05	0,00333333	0,166667	0,000175439	0,05	0	0	0
2	240	2	6,92819	30	20	1	0,9171	109	0	10	4	0,596189	2	0,354556	14	0,719071	1,8	252	0,0373016	3,49671e-05	0,01	0,285714	0,000171821	0,05	0	0	0
3	289	3	6,79863	30	20	1	0,92439	131	1	15	12	0,715757	2	0,398212	6	0,72547	2,36667	252	0,0785714	6,98143e-05	0,02	0,285714	0,00017301	0,05	0	0	0
4	352	4	6,38293	30	20	1	0,930951	159	1	19	8	0,735853	4	0,476477	8	0,755414	2,03333	252	0,189174	0,000144094	0,0416667	0,444444	0,000162866	0,05	0	0	0
5	420	5	6,19372	30	20	1	0,936856	190	1	21	7	0,752012	4	0,527592	9	0,78001	2,03333	252	0,27092	0,00017065	0,05	0,444444	0,000162866	0,05	0,166667	0,000175439	0,05
6	482	6	6,203	30	20	1	0,94217	218	2	26	6	0	7	0	7	0,863254	1,76667	252	0,314255	0,000167595	0,05	0,444444	0,000162866	0,05	0,285714	0,000171821	0,05
7	522	7	6,26993	30	20	1	0,946953	236	6	35	9	0,782859	9	0,716056	2	0,850805	2,1	252	0,338364	0,000165213	0,05	0,473684	0,000159744	0,05	0,285714	0,00017301	0,05
8	590	8	6,29833	30	20	1	0,951258	268	6	38	5	0,776618	3	0,698122	12	0,852638	2,16667	252	0,366208	0,000162038	0,05	0,473684	0,000159744	0,05	0,333333	0,000162866	0,05
9	636	9	6,36851	30	20	1	0,955132	289	8	49	6	0,772147	11	0,656427	3	0,846738	2,5	252	0,385472	0,000161146	0,05	0,473684	0,000159744	0,05	0,333333	0,000162866	0,05
10	713	10	6,39477	30	20	1	0,958619	325	8	50	3	0,758936	5	0,687253	12	0,837357	2,53333	252	0,42126	0,00015902	0,05	0,473684	0,000159744	0,05	0,333333	0,000163934	0,05
11	773	11	6,37646	30	20	1	0,961757	353	9	55	6	0,720057	4	0,708075	10	0,84113	2,2	252	0,45207	0,000157292	0,05	0,473684	0,000159744	0,05	0,411765	0,000159744	0,05
12	823	12	6,31576	30	20	1	0,964581	376	10	61	10	0,688544	4	0,703318	6	0,849361	2,23333	252	0,473684	0,000156005	0,05	0,473684	0,000160772	0,05	0,473684	0,000151057	0,05
13	898	13	6,12644	30	20	1	0,967123	411	11	64	1	0,688695	7	0,699137	12	0,83799	1,93333	252	0,473684	0,000159848	0,05	0,473684	0,000160772	0,05	0,473684	0,00015873	0,05
14	968	14	6,0638	30	20	1	0,969411	444	11	65	6	0,700704	4	0,712099	10	0,841901	2,63333	252	0,473684	0,00016019	0,05	0,473684	0,000161812	0,05	0,473684	0,000159744	0,05
15	1037	15	6,05537	30	20	1	0,97147	476	12	68	4	0,698376	7	0,73071	9	0,846955	2,7	252	0,476232	0,000160533	0,05	0,52381	0,000159744	0,05	0,473684	0,000159744	0,05
16	1103	16	6,09402	30	20	1	0,973323	507	13	72	4	0,686779	4	0,742032	12	0,840243	2,16667	252	0,482206	0,000161061	0,05	0,52381	0,000159744	0,05	0,473684	0,000160772	0,05
17	1164	17	6,11056	30	20	1	0,974991	535	14	79	4	0,679213	9	0,765362	7	0,837795	2,86667	252	0,488972	0,00016096	0,05	0,52381	0,000159744	0,05	0,473684	0,000160772	0,05
18	1225	18	6,15521	30	20	1	0,976491	563	15	83	7	0,664591	10	0,766788	3	0,836118	2,8	252	0,497494	0,000161032	0,05	0,52381	0,000159744	0,05	0,473684	0,000160772	0,05
19	1285	19	6,13715	30	20	1	0,977842	591	18	90	2	0,66413	7	0,76921	11	0,837766	2,16667	252	0,514286	0,000160267	0,05	0,52381	0,000159744	0,05	0,5	0,000161812	0,05
20	1344	20	6,1125	30	20	1	0,979058	618	19	98	4	0,663558	7	0,758657	9	0,843666	2,03333	252	0,524531	0,00015917	0,05	0,545455	0,00015873	0,05	0,52381	0,00015873	0,05
21	1417	21	6,09213	30	20	1	0,980152	652	19	102	2	0,662449	10	0,763959	8	0,844524	2,2	252	0,526696	0,000159542	0,05	0,545455	0,00015873	0,05	0,52381	0,00015873	0,05
22	1473	22	6,09365	30	20	1	0,981137	678	20	109	6	0,646621	6	0,768269	8	0,843962	2,76667	252	0,52886	0,000159508	0,05	0,545455	0,00015873	0,05	0,52381	0,000159744	0,05
23	1545	23	6,11829	30	20	1	0,982023	712	20	113	2	0,640732	8	0,768546	10	0,847247	3,13333	252	0,535354	0,00015917	0,05	0,545455	0,00015873	0,05	0,52381	0,000159744	0,05
24	1614	24	6,01605	30	20	1	0,982821	744	21	119	1	0,637908	8	0,773087	11	0,850534	1,73333	252	0,545455	0,00015873	0,05	0,545455	0,00015873	0,05	0,545455	0,00015873	0,05
25	1675	25	6,01605	30	20	1	0,983539	772	22	128	2	0,632627	9	0,780878	9	0,852698	2,7	252	0,545455	0,00015873	0,05	0,545455	0,00015873	0,05	0,545455	0,00015873	0,05
26	1737	26	6,01553	30	20	1	0,984185	800	24	137	1	0,630105	6	0,782672	13	0,852155	3,6	252	0,545455	0,000158764	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
27	1808	27	6,0169	30	20	1	0,984767	832	25	143	1	0,627658	11	0,785913	8	0,85107	4,46667	252	0,545455	0,000158798	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
28	1879	28	6,01679	30	20	1	0,98529	864	25	149	2	0,618242	7	0,789035	11	0,853946	5,16667	252	0,545455	0,000158865	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
29	1954	29	6,01673	30	20	1	0,985761	898	25	151	4	0,608563	3	0,787715	13	0,855629	5,63333	252	0,545455	0,000158967	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
30	2029	30	6,01919	30	20	1	0,986185	932	25	156	1	0,607794	13	0,788147	6	0,855493	6	252	0,545455	0,000159068	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
31	2103	31	6,02561	30	20	1	0,986566	965	26	161	1	0,607109	7	0,787031	12	0,854104	5,26667	252	0,545455	0,000159271	0,05	0,545455	0,000159744	0,05	0,545455	0,00015873	0,05
32	2176	32	6,03125	30	20	1	0,98691	998	27	166	1	0,607068	6	0,787499	13	0,85071	2,6	252	0,546717	0,00015961	0,05	0,583333	0,000157729	0,05	0,545455	0,00015873	0,05
33	2247	33	6,03341	30	20	1	0,987219	1030	27	173	1	0,607006	9	0,788664	10	0,852248	3	252	0,546717	0,000159677	0,05	0,583333	0,000157729	0,05	0,545455	0,000159744	0,05
34	2316	34	6,03461	30	20	1	0,987497	1061	27	180	2	0,606898	3	0,788545	15	0,855529	3,93333	252	0,54798	0,00015961	0,05	0,583333	0,000157729	0,05	0,545455	0,000159744	0,05
35	2391	35	6,0403	30	20	1	0,987747	1095	27	184	2	0,604094	9	0,789743	9	0,85675	4,53333	252	0,55303	0,000159308	0,05	0,583333	0,000157729	0,05	0,545455	0,000159744	0,05
36	2477	36	6,04526	30	20	1	0,987972	1134	27	185	0	0,604094	7	0,791356	13	0,85938	4,56667	252	0,561869	0,000158805	0,05	0,583333	0,000157729	0,05	0,545455	0,000159744	0,05
37	2551	37	6,02993	30	20	1	0,988175	1167	28	187	4	0,595181	3	0,791665	13	0,859178	2,86667	252	0,575758	0,000158001	0,05	0,583333	0,000157729	0,05	0,545455	0,000159744	0,05
38	2617	38	6,01759	30	20	1	0,988358	1197	28	194	3	0,587409	8	0,792811	9	0,857153	2,23333	252	0,583333	0,000157663	0,05	0,583333	0,000157729	0,05	0,583333	0,00015674	0,05
39	2691	39	6,01849	30	20	1	0,988522	1230	28	198	3	0,583138	6	0,79427	11	0,855456	2,96667	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
40	2760	40	6,01849	30	20	1	0,98867	1261	29	204	2	0,580883	7	0,793218	11	0,855934	3,93333	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
41	2829	41	6,01849	30	20	1	0,988803	1292	31	209	2	0,57882	8	0,792116	10	0,857697	4,9	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
42	2900	42	6,01849	30	20	1	0,988922	1324	33	214	1	0,577824	8	0,785982	11	0,860892	5,86667	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
43	2974	43	6,01849	30	20	1	0,98903	1357	34	219	1	0,574906	8	0,78704	11	0,86235	6,83333	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
44	3058	44	6,02156	30	20	1	0,989127	1395	34	220	1	0,571662	7	0,788523	12	0,862803	7,46667	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
45	3139	45	6,02667	30	20	1	0,989214	1432	34	222	1	0,568507	6	0,789482	13	0,863946	7,43333	252	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05	0,583333	0,000157729	0,05
46	3221	46	6,03256	30	20	1	0,989293	1469	34	224	1	0,565399	2	0,789915	17	0,864535	6,4	252	0,583333	0,000157762	0,05	0,583333	0,00015873	0,05	0,583333	0,000157729	0,05
47	3307	47	6,04484	30	20	1	0,989364	1508	34	225	0	0,565399	7	0,791073	13	0,865494	4,7	252	0,583333	0,000157829	0,05	0,583333	0,00015873	0,05	0,583333	0,000157729	0,05
48	3382	48	6,04452	30	20	1	0,989427	1542	35	229	1	0,56233	8	0,793077	11	0,864773	2,66667	252	0,583333	0,000157962	0,05	0,583333	0,00015873	0,05	0,583333	0,000157729	0,05
49	3462	49	6,03948	30	20	1	0,989485	1578	35	233	0	0,56233	9	0,793682	11	0,864935	2,66667	252	0,583333	0,000158297	0,05	0,583333	0,000159744	0,05	0,583333	0,000157729	0,05
