GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,7.09578,30,30,1,0.9,50,0,0,0,0,0,0,0,0,0,252,0.00333333,3.50877e-06,0.001,0.166667,0.000175439,0.05,0,0,0
1,192,1,6.99248,30,30,1,0.909,90,1,9,10,0.44103,10,0.497244,10,0.690137,0.966667,252,0.0111111,1.16959e-05,0.00333333,0.166667,0.000175439,0.05,0,0,0
2,305,2,6.94504,30,30,1,0.9171,143,2,14,1,0.45544,2,0.52682,27,0.781883,1.83333,252,0.0277778,2.9199e-05,0.00833333,0.166667,0.000175439,0.05,0,0,0
3,394,3,6.80083,30,30,1,0.92439,184,10,18,7,0.560432,16,0.603112,7,0.790378,2.4,252,0.0611111,6.4246e-05,0.0183333,0.166667,0.000175439,0.05,0,0,0
4,488,4,6.37857,30,30,1,0.930951,228,11,21,12,0.625911,3,0.608707,15,0.800179,2.16667,252,0.127778,0.000134258,0.0383333,0.166667,0.000175439,0.05,0,0,0
5,582,5,6.04445,30,30,1,0.936856,272,11,28,9,0.6353,5,0.620672,16,0.822653,1.9,252,0.188645,0.000174695,0.05,0.285714,0.000174216,0.05,0.166667,0.000175439,0.05
6,681,6,6.08492,30,30,1,0.94217,318,12,35,6,0.659803,11,0.654452,13,0.832909,2.23333,252,0.239057,0.000172922,0.05,0.375,0.000163934,0.05,0.166667,0.000175439,0.05
7,779,7,6.15869,30,30,1,0.946953,364,12,39,10,0.691464,7,0.672392,13,0.832192,1.5,252,0.305194,0.000169944,0.05,0.411765,0.000161812,0.05,0.285714,0.000163934,0.05
8,876,8,6.13867,30,30,1,0.951258,409,14,48,4,0.69734,8,0.677022,18,0.83623,1.56667,252,0.332773,0.000167856,0.05,0.411765,0.000161812,0.05,0.285714,0.000174216,0.05
9,981,9,6.18186,30,30,1,0.955132,458,15,54,4,0.707625,8,0.685409,18,0.840136,1.6,252,0.378186,0.000164453,0.05,0.411765,0.000163934,0.05,0.333333,0.000163934,0.05
10,1058,10,6.2432,30,30,1,0.958619,494,18,62,13,0.726732,9,0.696009,8,0.83886,2,252,0.392157,0.000164369,0.05,0.411765,0.000163934,0.05,0.375,0.000163934,0.05
11,1152,11,6.26277,30,30,1,0.961757,538,18,66,12,0.734097,5,0.690743,13,0.841698,1.5,252,0.414918,0.000163409,0.05,0.473684,0.000159744,0.05,0.411765,0.000161812,0.05
12,1245,12,6.26436,30,30,1,0.964581,581,18,74,9,0.733285,8,0.695825,13,0.844298,1.53333,252,0.424263,0.000164072,0.05,0.473684,0.000159744,0.05,0.411765,0.000163934,0.05
13,1345,13,6.31863,30,30,1,0.967123,628,18,76,11,0.713232,5,0.70017,14,0.844369,1.8,252,0.441979,0.000164714,0.05,0.473684,0.000162866,0.05,0.411765,0.000163934,0.05
14,1443,14,6.22835,30,30,1,0.969411,674,19,81,8,0.698177,7,0.710883,15,0.849094,1.66667,252,0.472431,0.000160507,0.05,0.52381,0.00015873,0.05,0.444444,0.000162866,0.05
15,1535,15,6.2496,30,30,1,0.97147,717,22,88,7,0.687437,7,0.714974,16,0.849858,2.13333,252,0.475355,0.00016085,0.05,0.52381,0.00015873,0.05,0.473684,0.000159744,0.05
16,1645,16,6.22482,30,30,1,0.973323,767,22,94,4,0.684755,9,0.723442,17,0.848694,1.66667,252,0.477026,0.000162028,0.05,0.52381,0.00015873,0.05,0.473684,0.000161812,0.05
17,1741,17,6.24536,30,30,1,0.974991,812,22,106,3,0.68549,9,0.718427,18,0.849367,1.6,252,0.482122,0.000162177,0.05,0.52381,0.00015873,0.05,0.473684,0.000162866,0.05
18,1826,18,6.28798,30,30,1,0.976491,851,22,117,10,0.686067,7,0.714549,13,0.850912,2.43333,252,0.487218,0.000161796,0.05,0.52381,0.00015873,0.05,0.473684,0.000162866,0.05
19,1924,19,6.33509,30,30,1,0.977842,897,22,123,8,0.685666,9,0.722426,13,0.849598,2.06667,252,0.506809,0.000159685,0.05,0.52381,0.00015873,0.05,0.473684,0.000162866,0.05
20,2037,20,6.10202,30,30,1,0.979058,950,23,128,1,0.685512,11,0.728045,18,0.849507,1.7,252,0.525776,0.000154975,0.05,0.565217,0.000155763,0.05,0.5,0.000162866,0.05
21,2135,21,6.03247,30,30,1,0.980152,994,24,137,6,0.683248,8,0.729642,16,0.851505,2.23333,252,0.530052,0.000158052,0.05,0.565217,0.000157729,0.05,0.52381,0.00015873,0.05
22,2254,22,6.06187,30,30,1,0.981137,1048,24,142,1,0.682954,8,0.729657,21,0.852308,2.13333,252,0.539055,0.000156794,0.05,0.565217,0.000157729,0.05,0.52381,0.00015873,0.05
23,2356,23,6.08999,30,30,1,0.982023,1094,24,149,7,0.683226,9,0.733039,14,0.852215,1.93333,252,0.552921,0.000155414,0.05,0.565217,0.000157729,0.05,0.52381,0.000159744,0.05
24,2471,24,6.0842,30,30,1,0.982821,1147,25,152,3,0.682526,9,0.73567,18,0.852388,1.46667,252,0.565821,0.000157102,0.05,0.583333,0.00015674,0.05,0.565217,0.00015674,0.05
25,2574,25,6.04163,30,30,1,0.983539,1195,25,160,4,0.676176,11,0.740509,15,0.85301,1.5,252,0.567029,0.000157663,0.05,0.583333,0.000157729,0.05,0.565217,0.000157729,0.05
26,2682,26,6.05401,30,30,1,0.984185,1246,25,164,5,0.665524,7,0.742666,18,0.855083,2.3,252,0.570048,0.000157564,0.05,0.583333,0.000157729,0.05,0.565217,0.000157729,0.05
27,2789,27,6.0643,30,30,1,0.984767,1296,25,167,7,0.647113,5,0.743495,18,0.856053,2.73333,252,0.574275,0.000157465,0.05,0.583333,0.000157729,0.05,0.565217,0.000157729,0.05
28,2903,28,6.05848,30,30,1,0.98529,1349,27,169,3,0.642161,7,0.743725,20,0.856642,1.73333,252,0.583333,0.000157169,0.05,0.583333,0.000157729,0.05,0.583333,0.000155763,0.05
29,3024,29,6.04935,30,30,1,0.985761,1404,27,172,2,0.63897,9,0.746631,19,0.858628,1.63333,252,0.583333,0.000157729,0.05,0.583333,0.000157729,0.05,0.583333,0.000157729,0.05
30,3127,30,6.04935,30,30,1,0.986185,1450,29,183,1,0.637555,13,0.750464,16,0.858035,2.6,252,0.583333,0.000157729,0.05,0.583333,0.000157729,0.05,0.583333,0.000157729,0.05
31,3236,31,6.05314,30,30,1,0.986566,1499,32,188,3,0.632572,11,0.75074,16,0.859715,3.5,252,0.583333,0.000157762,0.05,0.583333,0.00015873,0.05,0.583333,0.000157729,0.05
32,3340,32,6.05764,30,30,1,0.98691,1547,33,195,4,0.625211,9,0.750131,17,0.860054,4.36667,252,0.583333,0.000157795,0.05,0.583333,0.00015873,0.05,0.583333,0.000157729,0.05
33,3440,33,6.06212,30,30,1,0.987219,1594,37,202,2,0.624033,10,0.743258,18,0.858173,5.2,252,0.583333,0.000157829,0.05,0.583333,0.00015873,0.05,0.583333,0.000157729,0.05
34,3553,34,6.06822,30,30,1,0.987497,1647,39,205,2,0.623513,9,0.740571,19,0.858464,5.83333,252,0.583333,0.000157896,0.05,0.583333,0.00015873,0.05,0.583333,0.000157729,0.05
35,3674,35,6.07533,30,30,1,0.987747,1704,39,206,2,0.622983,7,0.743296,21,0.858838,5,252,0.583333,0.000158196,0.05,0.583333,0.00015873,0.05,0.583333,0.000157729,0.05
36,3793,36,5.99769,30,30,1,0.987972,1758,40,209,2,0.622375,6,0.74456,22,0.859184,1.63333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
37,3888,37,5.99769,30,30,1,0.988175,1801,43,220,3,0.620023,12,0.744302,15,0.858894,2.6,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
38,4010,38,5.99769,30,30,1,0.988358,1856,43,223,2,0.616003,13,0.748821,15,0.859441,3.56667,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
39,4122,39,5.99769,30,30,1,0.988522,1908,44,228,2,0.612407,7,0.751234,21,0.859164,4.53333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
40,4229,40,5.99769,30,30,1,0.98867,1958,45,234,3,0.610977,8,0.754111,19,0.859746,5.5,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
41,4347,41,5.99769,30,30,1,0.988803,2013,45,239,0,0.610977,10,0.75602,20,0.860874,6.46667,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
42,4476,42,5.99985,30,30,1,0.988922,2073,45,239,0,0.610977,8,0.755724,22,0.860849,7.1,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
43,4587,43,6.00288,30,30,1,0.98903,2123,47,242,5,0.608641,10,0.757409,15,0.861884,7.73333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
44,4712,44,6.00796,30,30,1,0.989127,2180,47,244,1,0.60819,8,0.758566,21,0.863012,8.03333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
45,4823,45,6.02192,30,30,1,0.989214,2230,48,249,4,0.605424,11,0.758448,15,0.862248,6,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
46,4919,46,6.03961,30,30,1,0.989293,2274,52,257,4,0.602724,10,0.755872,16,0.863821,1.63333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
47,5024,47,6.03961,30,30,1,0.989364,2321,54,268,0,0.602724,14,0.755616,16,0.863867,2.6,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
48,5126,48,6.03961,30,30,1,0.989427,2367,55,281,0,0.602724,7,0.754418,23,0.863865,3.56667,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
49,5250,49,6.03961,30,30,1,0.989485,2423,55,284,1,0.602048,9,0.75327,20,0.863993,4.53333,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
50,5369,50,6.03961,30,30,1,0.989536,2477,56,287,2,0.600693,9,0.756457,19,0.862956,5.5,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
51,5490,51,6.03961,30,30,1,0.989583,2532,56,290,2,0.59706,6,0.75715,22,0.86307,6.46667,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
52,5490,51,6.03961,30,30,1,0.989583,2532,56,290,2,0.59706,6,0.75715,22,0.86307,6.46667,252,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05,0.583333,0.00015873,0.05
