GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.5087,30,20,1,0.9,50,0,0,0,0,0,0,0,0,0,68,0.213769,0.000194043,0.0745253,0.5,0.00026178,0.0909091,0,0,0
1,167,1,6.29881,30,20,1,0.9,81,0,2,7,0.601229,7,0.546036,6,0.781921,0.966667,68,0.36532,0.000261559,0.102963,0.5,0.00026178,0.0909091,0.294118,0.000292398,0.111111
2,239,2,6.13519,30,20,1,0.909,116,0,6,1,0.60237,0,0.546036,19,0.810746,1.46667,68,0.399142,0.00025441,0.0972727,0.5,0.00026178,0.0909091,0.368421,0.000239234,0.0909091
3,279,3,6.05827,30,20,1,0.9171,135,2,17,8,0.693215,11,0.643075,1,0.814891,2,68,0.414016,0.00025289,0.0986195,0.5,0.00026178,0.0909091,0.368421,0.00026455,0.0909091
4,341,4,6.08818,30,20,1,0.92439,164,2,19,9,0.684308,2,0.643202,9,0.832149,1.93333,68,0.442281,0.000248768,0.0965993,0.5,0.00026178,0.0909091,0.4,0.000218341,0.0909091
5,397,5,6.0435,30,20,1,0.930951,190,3,26,6,0.671151,4,0.622721,10,0.843216,2.06667,68,0.460965,0.000254649,0.0969697,0.5,0.00026178,0.0909091,0.421053,0.000259067,0.111111
6,466,6,5.93786,30,20,1,0.936856,222,3,31,3,0.672259,7,0.616344,10,0.842,2,68,0.487109,0.00025269,0.0969697,0.52381,0.000236967,0.0909091,0.45,0.000239234,0.0909091
7,538,7,5.86086,30,20,1,0.94217,256,3,34,3,0.678152,2,0.623539,15,0.847026,2.1,68,0.505411,0.000249077,0.0942761,0.590909,0.000236967,0.0909091,0.5,0.000239234,0.0909091
8,600,8,5.80739,30,20,1,0.946953,285,3,42,3,0.680797,6,0.638184,11,0.848547,2.5,68,0.513853,0.0002539,0.0969697,0.590909,0.00026178,0.0909091,0.5,0.000239234,0.0909091
9,671,9,5.7526,30,20,1,0.951258,318,3,43,6,0.669897,2,0.643097,12,0.855182,2.43333,68,0.529517,0.000252067,0.0922559,0.590909,0.00026178,0.0909091,0.5,0.00026178,0.0909091
