GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,7.11663,50,20,1,0.9,100,0,0,0,0,0,0,0,0,0,200,0.0889833,5.02353e-06,0.249016,0.34,1.16891e-05,0.0526316,0,0,0
1,312,1,6.94532,50,20,1,0.9,127,0,6,7,0.781727,7,0.388746,6,0.828434,0.98,200,0.217282,1.14758e-05,0.507047,0.34,1.16891e-05,0.0526316,0.119048,1.17883e-05,1
2,406,2,6.80274,50,20,1,0.9,167,0,6,0,0.781727,0,0.388746,20,0.808806,1.54,200,0.245849,1.14715e-05,0.339944,0.34,1.16891e-05,0.0526316,0.204545,1.12473e-05,0.111111
3,451,3,6.80916,50,20,1,0.909,186,0,7,20,0.745437,0,0.388746,0,0.808806,2.14,200,0.261466,1.14586e-05,0.283823,0.36,1.12372e-05,0.0909091,0.204545,1.22205e-05,1
4,514,4,6.73921,50,20,1,0.9171,212,2,17,2,0.742615,13,0.529939,5,0.802784,2.52,200,0.273133,1.14044e-05,0.225408,0.36,1.12372e-05,0.0909091,0.244444,1.15808e-05,0.111111
5,582,5,6.68211,50,20,1,0.92439,241,2,20,8,0.740007,3,0.547048,9,0.807166,2.92,200,0.284557,1.12172e-05,0.319416,0.36,1.12372e-05,0.0909091,0.255319,1.12372e-05,0.0909091
6,646,6,6.60452,50,20,1,0.930951,268,2,24,9,0.742753,1,0.554258,10,0.801559,2.86,200,0.300057,1.10213e-05,0.276281,0.36,1.12372e-05,0.0909091,0.26087,1.14012e-05,1
7,720,7,6.50912,50,20,1,0.936856,299,2,26,7,0.730096,2,0.568713,11,0.816118,2.82,200,0.314831,1.07866e-05,0.110971,0.392157,1.12423e-05,0.0909091,0.291667,1.14587e-05,0.0344828
8,800,8,6.37943,50,20,1,0.94217,333,2,28,4,0.717459,0,0.568713,16,0.828674,2.72,200,0.327296,1.06197e-05,0.0901435,0.392157,1.12423e-05,0.0909091,0.3125,9.55749e-06,0.0909091
9,875,9,6.22561,50,20,1,0.946953,365,2,35,1,0.714651,8,0.622791,11,0.824069,2.32,200,0.338381,1.11701e-05,0.089378,0.392157,1.12423e-05,0.0909091,0.326531,9.55749e-06,0.0909091
10,936,10,6.18639,50,20,1,0.951258,390,3,44,5,0.705572,8,0.654658,7,0.822993,3.02,200,0.344708,1.12994e-05,0.0874839,0.423077,1.12423e-05,0.0909091,0.326531,1.12372e-05,0.0909091
11,1007,11,6.28215,50,20,1,0.955132,420,4,48,5,0.69914,7,0.672014,8,0.821473,2.74,200,0.351468,1.13491e-05,0.0867184,0.423077,1.12423e-05,0.0909091,0.326531,1.12372e-05,0.0909091
12,1084,12,6.25076,50,20,1,0.958619,453,4,52,3,0.698164,9,0.688509,8,0.820371,2.82,200,0.363691,1.13481e-05,0.0828906,0.423077,1.12423e-05,0.0909091,0.333333,1.16782e-05,0.0909091
13,1152,13,6.00937,50,20,1,0.961757,482,4,55,8,0.700452,6,0.695228,6,0.823381,2.98,200,0.372471,1.12578e-05,0.0901435,0.423077,1.12423e-05,0.0909091,0.36,1.12372e-05,0.0909091
14,1217,14,6.0564,50,20,1,0.964581,509,6,61,5,0.70268,4,0.695677,11,0.829061,3.54,200,0.38049,1.12977e-05,0.089378,0.423077,1.12423e-05,0.0909091,0.36,1.12372e-05,0.0909091
15,1292,15,6.11173,50,20,1,0.967123,541,6,64,5,0.69953,6,0.691639,9,0.834496,2.5,200,0.390038,1.13577e-05,0.0870813,0.423077,1.12423e-05,0.0909091,0.36,1.12372e-05,0.0909091
16,1372,16,5.99959,50,20,1,0.969411,575,6,68,2,0.69598,8,0.697342,10,0.840042,2.64,200,0.40638,1.13234e-05,0.0855502,0.423077,1.12423e-05,0.0909091,0.392157,1.12423e-05,0.0909091
17,1441,17,6.01943,50,20,1,0.97147,604,6,75,4,0.678684,6,0.698915,10,0.844657,2.78,200,0.413801,1.13551e-05,0.0821251,0.423077,1.15754e-05,0.0909091,0.392157,1.12423e-05,0.0909091
18,1525,18,5.92295,50,20,1,0.973323,640,6,76,3,0.667999,3,0.696754,14,0.84731,2.7,200,0.424267,1.12338e-05,0.088652,0.45283,1.11421e-05,0.0344828,0.423077,1.11919e-05,0.0909091
19,1606,19,5.92982,50,20,1,0.974991,674,6,78,4,0.660355,4,0.699997,12,0.851024,3.14,200,0.426052,1.12496e-05,0.0875235,0.45283,1.12423e-05,0.0909091,0.423077,1.12423e-05,0.0909091
20,1692,20,5.95931,50,20,1,0.976491,711,6,80,1,0.66102,5,0.708968,14,0.85161,3.98,200,0.428599,1.12537e-05,0.0836827,0.490909,1.10926e-05,0.05,0.423077,1.12423e-05,0.0909091
21,1775,21,5.97082,50,20,1,0.977842,746,6,82,3,0.662503,7,0.718552,10,0.853509,4.24,200,0.430384,1.12804e-05,0.0814257,0.490909,1.10926e-05,0.05,0.423077,1.12423e-05,0.0909091
22,1860,22,6.01562,50,20,1,0.979058,782,6,84,2,0.663769,4,0.71946,14,0.854642,3.64,200,0.434716,1.13031e-05,0.0745623,0.490909,1.10926e-05,0.05,0.423077,1.12423e-05,0.0909091
23,1941,23,6.05822,50,20,1,0.980152,816,6,86,4,0.665897,4,0.717965,12,0.852647,2.54,200,0.440028,1.13344e-05,0.0687748,0.490909,1.10926e-05,0.05,0.423077,1.12931e-05,0.0909091
24,2026,24,6.05116,50,20,1,0.981137,852,6,87,3,0.663912,3,0.717674,14,0.852435,2.9,200,0.448111,1.1292e-05,0.0635347,0.490909,1.10926e-05,0.05,0.423077,1.15754e-05,0.0909091
25,2100,25,6.02908,50,20,1,0.982023,883,7,91,4,0.662252,4,0.719024,12,0.851374,2.88,200,0.457428,1.11734e-05,0.0571661,0.490909,1.10926e-05,0.05,0.45283,1.11421e-05,0.0344828
26,2169,26,6.03426,50,20,1,0.982821,912,7,98,4,0.659046,5,0.719701,11,0.852106,3.64,200,0.459147,1.11877e-05,0.0661944,0.490909,1.10926e-05,0.05,0.45283,1.11421e-05,0.0344828
27,2258,27,6.02409,50,20,1,0.983539,950,7,99,1,0.658008,7,0.714758,12,0.851684,3,200,0.461257,1.12196e-05,0.0823041,0.490909,1.10926e-05,0.05,0.45283,1.11421e-05,0.0344828
28,2336,28,6.01779,50,20,1,0.984185,983,7,103,3,0.655139,7,0.710911,10,0.850902,3.52,200,0.465444,1.12225e-05,0.086,0.517857,1.10926e-05,0.05,0.45283,1.12423e-05,0.0909091
29,2421,29,6.05096,50,20,1,0.984767,1019,7,104,3,0.655523,4,0.711031,13,0.852363,3.28,200,0.475934,1.1192e-05,0.0802727,0.517857,1.10926e-05,0.05,0.45283,1.12423e-05,0.0909091
30,2492,30,6.03661,50,20,1,0.98529,1049,7,111,3,0.657163,7,0.704729,10,0.853059,2.9,200,0.485127,1.11674e-05,0.0786364,0.54386,1.10926e-05,0.05,0.462963,1.11919e-05,0.0909091
31,2561,31,6.04072,50,20,1,0.985761,1078,7,119,3,0.659554,6,0.69925,11,0.852752,3.22,200,0.490326,1.11542e-05,0.0720909,0.54386,1.10926e-05,0.05,0.481481,1.1197e-05,0.0909091
32,2628,32,6.05051,50,20,1,0.986185,1106,10,126,2,0.659651,7,0.690865,11,0.854155,2.84,200,0.495408,1.11485e-05,0.0655455,0.54386,1.10926e-05,0.05,0.481481,1.1197e-05,0.0909091
33,2707,33,6.00148,50,20,1,0.986566,1139,10,128,5,0.651329,1,0.690055,14,0.855261,2.86,200,0.502653,1.11279e-05,0.059,0.54386,1.10926e-05,0.05,0.490909,1.10926e-05,0.05
34,2789,34,6.04086,50,20,1,0.98691,1174,10,129,4,0.636453,3,0.689966,13,0.854476,3.02,200,0.505348,1.1175e-05,0.0671818,0.54386,1.10926e-05,0.05,0.490909,1.10926e-05,0.05
35,2865,35,6.01943,50,20,1,0.987219,1206,10,132,5,0.618293,3,0.690435,12,0.855159,2.9,200,0.51372,1.11804e-05,0.0639091,0.54386,1.10926e-05,0.05,0.490909,1.11919e-05,0.0909091
36,2940,36,5.8994,50,20,1,0.987497,1238,10,140,0,0.618293,10,0.69393,10,0.855809,2.66,200,0.526178,1.11063e-05,0.05,0.54386,1.10926e-05,0.05,0.517857,1.10926e-05,0.05
