GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	7,09578	30	20	1	0,9	50	0	0	0	0	0	0	0	0	0	252	0,0412867	5,73206e-05	0,016	0,4	0,00033557	0,1	0	0	0
1	166	1	6,96902	30	20	1	0,811	77	0	6	7	0,581524	7	0,370485	6	0,585378	0,966667	252	0,106528	0,000143603	0,04	0,4	0,00033557	0,1	0	0	0
2	237	2	6,8101	30	20	1	0,8289	110	0	6	7	0,618734	1	0,41587	12	0,738469	1,46667	252	0,223094	0,000310733	0,0866667	0,4	0,00033557	0,1	0	0	0
3	296	3	6,63697	30	20	1	0,84501	137	1	15	3	0	7	0	10	0,844003	1,83333	252	0,287546	0,000357057	0,1	0,4	0,00033557	0,1	0,206897	0,00037594	0,1
4	357	4	6,44145	30	20	1	0,859509	165	1	17	10	0,620145	10	0,806621	0	0,844003	1,93333	252	0,32259	0,000340557	0,1	0,4	0,00033557	0,1	0,266667	0,000387597	0,1
5	419	5	6,12311	30	20	1	0,872558	193	2	27	1	0,625571	12	0,803375	7	0,859174	1,86667	252	0,358577	0,000337216	0,1	0,4	0,00033557	0,1	0,333333	0,000331126	0,1
6	495	6	6,03524	30	20	1	0,884302	228	2	27	5	0,656797	2	0,802081	13	0,868574	1,86667	252	0,372341	0,000339051	0,1	0,4	0,00033557	0,1	0,352941	0,00033557	0,1
7	557	7	6,04234	30	20	1	0,894872	256	2	34	5	0,666362	7	0,813576	8	0,870426	2,6	252	0,383289	0,000338762	0,1	0,416667	0,00033557	0,1	0,352941	0,00033557	0,1
8	619	8	6,06329	30	20	1	0,904385	284	5	39	4	0,679832	9	0,806448	7	0,853032	1,93333	252	0,400556	0,000334549	0,1	0,416667	0,00033557	0,1	0,4	0,000326797	0,1
9	668	9	6,08607	30	20	1	0,912946	306	5	48	9	0,713109	3	0,801381	8	0,840364	2,6	252	0,400556	0,000335875	0,1	0,416667	0,00033557	0,1	0,4	0,00033557	0,1
10	738	10	6,06876	30	20	1	0,920652	338	7	52	2	0,718174	9	0,787677	9	0,847775	3,43333	252	0,404019	0,000336179	0,1	0,459459	0,00033557	0,1	0,4	0,00033557	0,1
11	804	11	6,09507	30	20	1	0,927587	368	7	52	10	0,753048	4	0,789334	6	0,851428	3,5	252	0,412057	0,000336203	0,1	0,459459	0,00033557	0,1	0,4	0,00033557	0,1
12	865	12	6,13832	30	20	1	0,933828	396	8	58	5	0,746942	6	0,791193	9	0,845478	1,76667	252	0,422818	0,000336663	0,1	0,459459	0,00033557	0,1	0,4	0,000340136	0,1
13	915	13	6,15533	30	20	1	0,939445	419	9	68	6	0,741151	7	0,779156	7	0,849706	1,9	252	0,436857	0,00033565	0,1	0,459459	0,00033557	0,1	0,4	0,000359712	0,1
14	966	14	6,14183	30	20	1	0,944501	442	12	77	5	0,741564	8	0,760029	7	0,852925	2	252	0,45488	0,000335302	0,1	0,5	0,000331126	0,1	0,416667	0,000340136	0,1
15	1031	15	6,04897	30	20	1	0,949051	472	12	77	10	0,740255	1	0,757331	9	0,856397	2,06667	252	0,460811	0,000336335	0,1	0,5	0,000331126	0,1	0,459459	0,00033557	0,1
16	1088	16	6,07094	30	20	1	0,953145	498	12	85	6	0,726431	6	0,752977	8	0,858293	2,8	252	0,463514	0,000336948	0,1	0,5	0,00033557	0,1	0,459459	0,00033557	0,1
17	1156	17	6,09575	30	20	1	0,956831	529	12	89	5	0,705149	4	0,752837	11	0,855042	2,93333	252	0,466216	0,000337421	0,1	0,5	0,00033557	0,1	0,459459	0,00033557	0,1
18	1222	18	6,11896	30	20	1	0,960148	559	13	96	2	0,700381	9	0,751534	9	0,854793	2,36667	252	0,472973	0,000337289	0,1	0,5	0,00033557	0,1	0,459459	0,000340136	0,1
19	1291	19	6,12596	30	20	1	0,963133	590	14	101	3	0,695273	7	0,752061	10	0,855397	3,03333	252	0,481081	0,000335346	0,1	0,5	0,00033557	0,1	0,459459	0,000340136	0,1
20	1362	20	6,13321	30	20	1	0,96582	622	14	103	6	0,694724	5	0,755408	9	0,853844	1,96667	252	0,501282	0,000331918	0,1	0,538462	0,000331126	0,1	0,5	0,000322581	0,1
21	1425	21	6,13543	30	20	1	0,968238	650	16	112	1	0,69456	9	0,755461	10	0,854068	2,43333	252	0,502564	0,000334558	0,1	0,538462	0,00033557	0,1	0,5	0,000331126	0,1
22	1495	22	6,08909	30	20	1	0,970414	682	16	115	5	0,690545	3	0,7552	12	0,854676	2,06667	252	0,503846	0,000336496	0,1	0,538462	0,00033557	0,1	0,5	0,00033557	0,1
23	1558	23	6,09296	30	20	1	0,972373	710	16	123	4	0,676057	6	0,750866	10	0,85321	2,86667	252	0,504723	0,000337257	0,1	0,538462	0,00033557	0,1	0,5	0,00033557	0,1
24	1633	24	6,13492	30	20	1	0,974135	744	18	127	0	0,676057	8	0,752359	12	0,848363	2,5	252	0,50857	0,000338639	0,1	0,538462	0,000340136	0,1	0,5	0,00033557	0,1
25	1698	25	6,14154	30	20	1	0,975722	773	19	134	3	0,662041	7	0,756686	10	0,844145	2,83333	252	0,512011	0,000338795	0,1	0,538462	0,000340136	0,1	0,5	0,000340136	0,1
26	1767	26	6,18812	30	20	1	0,97715	804	21	137	4	0,654041	5	0,757243	11	0,844396	3,06667	252	0,524703	0,000337906	0,1	0,575	0,000340136	0,1	0,5	0,000340136	0,1
27	1831	27	6,10714	30	20	1	0,978435	833	22	142	5	0,647402	4	0,756691	11	0,848174	2,16667	252	0,542928	0,000335026	0,1	0,575	0,000340136	0,1	0,526316	0,000340136	0,1
28	1892	28	6,10969	30	20	1	0,979591	860	23	151	3	0,642393	5	0,748883	12	0,848416	2,76667	252	0,548205	0,000336228	0,1	0,575	0,000340136	0,1	0,538462	0,000331126	0,1
29	1972	29	6,11425	30	20	1	0,980632	896	23	155	0	0,642393	7	0,745719	13	0,849307	2,23333	252	0,561543	0,000337277	0,1	0,609756	0,000331126	0,1	0,538462	0,000340136	0,1
30	2042	30	6,11212	30	20	1	0,981569	928	23	159	4	0,632861	5	0,750262	11	0,847978	1,9	252	0,578476	0,000335323	0,1	0,609756	0,000331126	0,1	0,575	0,000331126	0,1
31	2115	31	6,10328	30	20	1	0,982412	961	23	164	2	0,626731	7	0,755563	11	0,850628	1,8	252	0,586717	0,000338622	0,1	0,609756	0,00033557	0,1	0,575	0,000340136	0,1
32	2183	32	6,11494	30	20	1	0,983171	991	23	172	2	0,619265	8	0,755104	10	0,850926	2,53333	252	0,59593	0,000337409	0,1	0,642857	0,00033557	0,1	0,575	0,000340136	0,1
33	2262	33	6,03173	30	20	1	0,983854	1027	23	175	1	0,615566	8	0,759846	11	0,852832	1,86667	252	0,61417	0,000333793	0,1	0,642857	0,00033557	0,1	0,609756	0,000331126	0,1
34	2325	34	6,02075	30	20	1	0,984468	1055	25	183	2	0,608758	4	0,761178	14	0,854008	1,83333	252	0,618583	0,000335731	0,1	0,642857	0,00033557	0,1	0,609756	0,00033557	0,1
35	2392	35	6,03276	30	20	1	0,985022	1085	27	191	0	0,608758	10	0,755091	10	0,852488	2,26667	252	0,625203	0,000335895	0,1	0,642857	0,00033557	0,1	0,609756	0,00033557	0,1
36	2474	36	6,03136	30	20	1	0,985519	1122	27	194	0	0,608758	5	0,757541	15	0,853329	1,8	252	0,642806	0,000334389	0,1	0,674419	0,00033557	0,1	0,609756	0,000340136	0,1
37	2539	37	6,00877	30	20	1	0,985967	1151	27	201	4	0,595932	3	0,758885	13	0,85525	2,1	252	0,648117	0,000335422	0,1	0,674419	0,00033557	0,1	0,642857	0,00033557	0,1
38	2606	38	6,02498	30	20	1	0,986371	1181	29	208	1	0,592875	11	0,755228	8	0,856864	2,9	252	0,653378	0,000335126	0,1	0,674419	0,00033557	0,1	0,642857	0,00033557	0,1
39	2680	39	6,05038	30	20	1	0,986734	1214	29	214	1	0,589859	9	0,75827	10	0,857258	2,8	252	0,662846	0,000334986	0,1	0,674419	0,00033557	0,1	0,642857	0,00033557	0,1
