GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,7.09578,30,25,1,0.9,50,0,0,0,0,0,0,0,0,0,252,0.0412867,5.73206e-05,0.016,0.4,0.00033557,0.1,0,0,0
1,177,1,6.95996,30,25,1,0.9,83,0,8,9,0.518004,8,0.44137,8,0.623575,0.966667,252,0.114306,0.000156326,0.0433333,0.4,0.00033557,0.1,0,0,0
2,273,2,6.70842,30,25,1,0.909,128,0,10,3,0.589648,2,0.487555,20,0.764435,1.3,252,0.281269,0.000352402,0.1,0.4,0.00033557,0.1,0.2,0.00033557,0.1
3,340,3,6.60708,30,25,1,0.9171,159,1,16,12,0.67115,9,0.617608,4,0.772815,1.73333,252,0.322386,0.000347977,0.1,0.4,0.00033557,0.1,0.266667,0.000381679,0.1
4,417,4,6.25229,30,25,1,0.92439,195,1,22,8,0,9,0.76025,8,0.857061,1.6,252,0.370654,0.000334842,0.1,0.4,0.00033557,0.1,0.333333,0.000331126,0.1
5,484,5,6.28454,30,25,1,0.930951,226,1,28,13,0.856826,8,0.781792,4,0.869845,1.76667,252,0.39305,0.000334854,0.1,0.444444,0.000340136,0.1,0.352941,0.00033557,0.1
6,566,6,6.09243,30,25,1,0.936856,264,1,32,8,0.805312,3,0.774262,14,0.854664,1.86667,252,0.401481,0.000335723,0.1,0.444444,0.000340136,0.1,0.4,0.00033557,0.1
7,651,7,6.09314,30,25,1,0.94217,304,2,37,4,0.776945,10,0.763076,11,0.861695,2.73333,252,0.404444,0.000336027,0.1,0.444444,0.000340136,0.1,0.4,0.00033557,0.1
8,730,8,6.09432,30,25,1,0.946953,341,2,42,8,0.692305,3,0.77254,14,0.847365,3.23333,252,0.411852,0.000336488,0.1,0.444444,0.000340136,0.1,0.4,0.00033557,0.1
9,802,9,6.08891,30,25,1,0.951258,374,7,53,1,0.687956,15,0.762001,9,0.848861,3,252,0.417778,0.000337553,0.1,0.444444,0.000340136,0.1,0.4,0.00033557,0.1
