GEN	CPU	P1_Generation	P1_E	P1_Mu	P1_Lambda	P1_Tau	P1_Sigma	P1_EvalCount	P1_DuplicateCount	P1_CacheCount	P1_OpUse_singleParameterAlterationMutation	P1_MAB_singleParameterAlterationMutation	P1_OpUse_onePointCrossover	P1_MAB_onePointCrossover	P1_OpUse_twoPointCrossover	P1_MAB_twoPointCrossover	P1_AvgAge	P1_AvgIndSize	P1_Avg_f0	P1_Avg_f1	P1_Avg_f2	P1_Best_f0	P1_Best_f1	P1_Best_f2	P1_Worst_f0	P1_Worst_f1	P1_Worst_f2
0	0	0	7,28991	100	20	1	0,9	100	0	0	0	0	0	0	0	0	0	296	0,0155804	2,54424e-06	0,00108635	0,371795	4,54133e-05	0,025641	0	0	0
1	290	1	7,2878	100	20	1	0,811	125	0	8	7	0,243985	7	0,436467	6	0,353698	0,99	296	0,0182275	3,08713e-06	0,00125584	0,371795	4,54133e-05	0,025641	0	0	0
2	376	2	7,2849	100	20	1	0,8289	161	0	11	1	0,26006	9	0,464403	10	0,427714	1,97	296	0,0208745	3,63001e-06	0,00142534	0,371795	4,54133e-05	0,025641	0	0	0
3	426	3	7,28157	100	20	1	0,84501	181	0	16	15	0,376048	4	0,459077	1	0,435582	2,94	296	0,0235216	4,1729e-06	0,00159483	0,371795	4,54133e-05	0,025641	0	0	0
4	518	4	7,27291	100	20	1	0,859509	219	0	17	1	0,37391	6	0,441209	13	0,490886	3,87	296	0,0288157	5,25868e-06	0,00193381	0,371795	4,54133e-05	0,025641	0	0	0
5	603	5	7,25887	100	20	1	0,872558	254	1	18	3	0,372523	8	0,472645	9	0,526246	4,7	296	0,0405421	7,30568e-06	0,00271102	0,371795	4,54133e-05	0,025641	0	0	0
6	679	6	7,23659	100	20	1	0,884302	286	2	19	6	0,413965	6	0,50994	8	0,503379	5,44	296	0,0541219	9,94203e-06	0,00358313	0,371795	4,54133e-05	0,025641	0	0	0
7	753	7	7,19134	100	20	1	0,894872	317	3	21	6	0,637437	9	0,685391	5	0,666139	5,95	296	0,0755354	1,42345e-05	0,00503831	0,371795	4,54133e-05	0,025641	0	0	0
8	802	8	7,16144	100	20	1	0,904385	337	3	21	20	0,586649	0	0,685391	0	0,666139	6,59	296	0,089048	1,6919e-05	0,00593268	0,371795	4,54133e-05	0,025641	0	0	0
9	896	9	7,07471	100	20	1	0,912946	377	3	21	0	0,586649	0	0,685391	20	0,8018	6,54	296	0,126804	2,38717e-05	0,00841578	0,371795	4,54133e-05	0,025641	0	0	0
10	983	10	6,98464	100	20	1	0,920652	414	4	23	0	0,586649	19	0,718746	1	0,802357	6,45	296	0,160739	3,0256e-05	0,010679	0,371795	4,54133e-05	0,025641	0	0	0
11	1062	11	6,73877	100	20	1	0,927587	448	4	24	5	0,585287	2	0,708298	13	0,801578	2,88506	296	0,236141	4,44573e-05	0,0156848	0,371795	4,54133e-05	0,025641	0	0	0
12	1144	12	6,62485	100	20	1	0,927587	484	4	25	3	0,606684	8	0,71316	9	0,810574	3,23	296	0,283769	5,28297e-05	0,0190178	0,371795	4,54133e-05	0,025641	0,25	5,52486e-05	0,0169492
13	1210	13	6,67026	100	20	1	0,927587	513	4	29	7	0,641025	4	0,726138	9	0,817678	3,67	296	0,290751	5,23157e-05	0,0194347	0,371795	4,54133e-05	0,025641	0,264706	5,42888e-05	0,0169492
14	1283	14	6,71787	100	20	1	0,933828	545	4	33	4	0,653	5	0,742102	11	0,824385	3,4	296	0,302808	5,15406e-05	0,0202929	0,4125	4,97512e-05	0,0222222	0,264706	5,42888e-05	0,0169492
15	1355	15	6,72154	100	20	1	0,939445	576	4	37	5	0,659563	9	0,74472	6	0,828146	3,64	296	0,30732	5,11505e-05	0,0208177	0,4125	4,97512e-05	0,0222222	0,264706	5,47645e-05	0,0196078
16	1421	16	6,72181	100	20	1	0,944501	605	5	41	6	0,665969	7	0,730815	7	0,83012	3,94	296	0,315788	5,10884e-05	0,0212892	0,4125	4,97512e-05	0,0222222	0,271429	5,10725e-05	0,0181818
17	1501	17	6,7103	100	20	1	0,949051	640	5	45	1	0,66787	6	0,722886	13	0,831374	3,8	296	0,329994	5,0955e-05	0,0224064	0,4125	4,97512e-05	0,0222222	0,271429	5,15996e-05	0,0181818
18	1576	18	6,63659	100	20	1	0,953145	673	5	46	6	0,680455	1	0,723078	13	0,834281	3,74	296	0,348201	5,01311e-05	0,0222436	0,4125	4,97512e-05	0,0222222	0,28169	5,39374e-05	0,025641
19	1647	19	6,59654	100	20	1	0,956831	704	5	46	9	0,688599	3	0,724087	8	0,83917	3,75	296	0,359634	4,93632e-05	0,0226036	0,4125	4,97512e-05	0,0222222	0,285714	5,51268e-05	0,0243902
