GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_EvalCount,P1_DuplicateCount,P1_CacheCount,P1_OpUse_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_OpUse_onePointCrossover,P1_MAB_onePointCrossover,P1_OpUse_twoPointCrossover,P1_MAB_twoPointCrossover,P1_AvgAge,P1_AvgIndSize,P1_Avg_f0,P1_Avg_f1,P1_Avg_f2,P1_Best_f0,P1_Best_f1,P1_Best_f2,P1_Worst_f0,P1_Worst_f1,P1_Worst_f2
0,0,0,6.88987,200,20,1,0.9,100,0,0,0,0,0,0,0,0,0,112,0.112025,0.000134301,0.0442727,0.419355,0.000331126,0.1,0,0,0
1,278,1,6.88324,200,20,1,0.9,129,0,4,7,0.307064,7,0.262147,6,0.77732,0.992481,112,0.0987897,0.000124785,0.0406015,0.419355,0.000331126,0.1,0,0,0
2,365,2,6.8738,200,20,1,0.909,169,0,4,0,0.307064,0,0.262147,20,0.829555,1.75723,112,0.103973,0.000131154,0.0425118,0.419355,0.000331126,0.1,0,0,0
3,440,3,6.87177,200,20,1,0.9171,203,0,5,5,0.44117,5,0.443904,10,0.84633,2.515,112,0.109587,0.000139411,0.0450455,0.419355,0.000331126,0.1,0,0,0
4,512,4,6.87256,200,20,1,0.92439,235,2,7,4,0,9,0.790267,7,0.806364,3.43,112,0.122704,0.000159077,0.0514545,0.419355,0.000331126,0.1,0,0,0
5,566,5,6.87481,200,20,1,0.930951,259,2,11,12,0.724182,4,0.785774,4,0.763586,4.26,112,0.134285,0.000176579,0.0568636,0.419355,0.000331126,0.1,0,0,0
6,646,6,6.86247,200,20,1,0.936856,295,2,12,3,0.738259,6,0.804954,11,0.766834,4.785,112,0.159536,0.00020698,0.0668636,0.419355,0.000331126,0.1,0,0,0
7,708,7,6.84513,200,20,1,0.94217,323,2,15,9,0.741792,7,0.807263,4,0.764714,5.3,112,0.173634,0.000231002,0.0740455,0.419355,0.000331126,0.1,0,0,0
8,775,8,6.81575,200,20,1,0.946953,353,3,19,5,0.705933,11,0.756546,4,0.778973,5.665,112,0.197788,0.000258918,0.0828636,0.419355,0.000331126,0.1,0,0,0
9,850,9,6.75715,200,20,1,0.951258,388,4,22,1,0.701342,5,0.763057,14,0.811887,5.42,112,0.237823,0.000305559,0.0980909,0.419355,0.000331126,0.1,0.0833333,0.000326797,0.1
10,914,10,6.76472,200,20,1,0.955132,418,4,24,8,0.684065,9,0.763551,3,0.813785,5.895,112,0.256321,0.000301046,0.0983182,0.419355,0.000331126,0.1,0.0833333,0.000340136,0.1
11,984,11,6.73761,200,20,1,0.958619,451,4,26,5,0.670431,5,0.773209,10,0.806643,4.63043,112,0.258086,0.000302597,0.0983202,0.419355,0.000331126,0.1,0.0833333,0.000340136,0.1
